MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,HalfBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice,Age,RemodAge,DateSold,TotalBath
MiddleZone,50.0,5000,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,CheapStyle,5,1941,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,604,720,Others,N,Other,0,803,0,TA,0,CheapGarage,Unf,2,Y,0,0,CheapType,Others,87000,66,57,2007-12-01,1
ExpensiveZone,32.0,10846,Irregular,ExpensiveConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,1993,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,100,1719,Ex,Y,SBrkr,0,1719,1,Gd,2,ExpensiveGarage,Fin,2,Y,122,30,ExpensiveType,Others,324000,15,15,2008-05-01,3
ExpensiveZone,80.0,11600,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1960,ExpensiveRoofStyle,CheapExterior,BrkFace,175.0,TA,CheapFoundation,TA,No,Other,818,1383,Others,Y,SBrkr,0,1383,1,TA,0,ExpensiveGarage,RFn,1,Y,0,45,CheapType,Others,145250,46,46,2006-04-01,1
ExpensiveZone,69.0,11888,Irregular,CheapConfig,CheapNeighborhood,ExpensiveCondition,ExpensiveType,MiddleStyle,6,1916,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,844,844,Others,N,Other,689,2134,0,Gd,0,CheapGarage,Unf,2,Y,0,60,CheapType,Others,214500,93,15,2009-07-01,2
MiddleZone,60.0,6402,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,5,1920,CheapRoofStyle,MiddleExterior,None,0.0,TA,ExpensiveFoundation,TA,Yes,Other,596,596,Others,N,SBrkr,596,1192,0,TA,0,CheapGarage,Unf,1,Other,0,0,CheapType,Others,78000,89,59,2009-07-01,1
ExpensiveZone,69.0,10624,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,MiddleStyle,5,1964,CheapRoofStyle,MiddleExterior,BrkFace,84.0,TA,CheapFoundation,TA,No,GLQ,1424,1728,Others,Y,SBrkr,0,1728,0,TA,0,CheapGarage,Unf,1,Y,155,0,CheapType,Others,119000,43,43,2007-11-01,2
ExpensiveZone,70.0,8176,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1958,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,210,1056,Others,Y,SBrkr,0,1056,0,TA,0,ExpensiveGarage,RFn,1,Y,0,0,CheapType,Others,139000,49,15,2007-08-01,2
ExpensiveZone,85.0,10655,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2003,CheapRoofStyle,ExpensiveExterior,BrkFace,296.0,Gd,ExpensiveFoundation,Gd,No,GLQ,1603,3206,Ex,Y,SBrkr,0,1629,0,Gd,1,ExpensiveGarage,RFn,3,Y,0,0,CheapType,Others,284000,6,5,2009-10-01,3
MiddleZone,59.0,8198,Regular,ExpensiveConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,2004,CheapRoofStyle,ExpensiveExterior,Stone,146.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,638,1358,Ex,Y,SBrkr,0,1358,0,Gd,1,ExpensiveGarage,RFn,2,Y,192,30,CheapType,Others,207000,4,4,2008-07-01,3
ExpensiveZone,59.0,9042,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,1998,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,Yes,GLQ,115,943,Others,Y,SBrkr,695,1638,1,TA,2,ExpensiveGarage,Fin,2,Y,100,38,CheapType,Others,192000,10,10,2008-07-01,3
ExpensiveZone,69.0,164660,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,CheapType,CheapStyle,5,1965,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,103,1499,Ex,Y,SBrkr,167,1786,0,TA,2,ExpensiveGarage,Fin,2,Y,670,0,CheapType,Others,228950,43,43,2008-08-01,4
ExpensiveZone,86.0,14157,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2005,ExpensiveRoofStyle,ExpensiveExterior,Stone,200.0,Gd,ExpensiveFoundation,Ex,Yes,GLQ,673,1922,Ex,Y,SBrkr,0,1922,0,Gd,1,ExpensiveGarage,Fin,3,Y,178,51,CheapType,Others,377426,2,1,2007-07-01,3
ExpensiveZone,70.0,9135,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,2002,CheapRoofStyle,ExpensiveExterior,BrkFace,113.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,726,1536,Ex,Y,SBrkr,0,1536,0,Gd,0,ExpensiveGarage,RFn,2,Y,192,74,CheapType,Others,214000,6,5,2008-12-01,3
ExpensiveZone,91.0,14145,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,1984,CheapRoofStyle,CheapExterior,None,0.0,Gd,CheapFoundation,Gd,Yes,Other,995,1208,Ex,Y,SBrkr,0,1621,0,Gd,0,ExpensiveGarage,RFn,2,Y,108,45,CheapType,Others,202500,22,8,2006-05-01,3
ExpensiveZone,66.0,12400,Irregular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,6,1958,ExpensiveRoofStyle,CheapExterior,BrkFace,176.0,TA,CheapFoundation,TA,No,Other,630,1215,Others,Y,Other,0,1215,0,TA,0,ExpensiveGarage,Unf,1,Y,0,0,CheapType,Others,155000,51,11,2009-06-01,1
ExpensiveZone,85.0,14191,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2002,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,967,967,Ex,Y,SBrkr,915,1908,1,Gd,0,ExpensiveGarage,Fin,2,Y,135,0,CheapType,Others,202900,8,8,2010-04-01,2
MiddleZone,60.0,8400,Regular,CheapConfig,MiddleNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,4,1950,CheapRoofStyle,CheapExterior,None,0.0,Fa,CheapFoundation,TA,No,Other,721,721,Others,Y,SBrkr,0,841,0,TA,0,CheapGarage,Unf,1,Other,250,0,CheapType,Others,82000,59,59,2009-09-01,1
ExpensiveZone,69.0,8544,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,MiddleStyle,3,1949,CheapRoofStyle,MiddleExterior,BrkFace,340.0,TA,CheapFoundation,TA,Yes,Other,0,0,Others,N,Other,0,1040,0,TA,0,CheapGarage,Unf,2,Y,0,0,CheapType,Others,87500,57,56,2006-05-01,2
ExpensiveZone,63.0,8849,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2005,ExpensiveRoofStyle,CheapExterior,BrkFace,616.0,Ex,ExpensiveFoundation,Ex,No,GLQ,1656,1684,Ex,Y,SBrkr,0,1684,0,Ex,1,ExpensiveGarage,RFn,2,Y,495,72,CheapType,Others,266000,3,3,2008-07-01,2
MiddleZone,36.0,2592,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,5,1976,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,Gd,No,Other,175,536,Others,Y,SBrkr,576,1112,1,TA,0,ExpensiveGarage,Unf,1,Y,182,0,CheapType,Others,85000,34,34,2010-04-01,1
ExpensiveZone,65.0,6435,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,6,1939,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,972,972,Others,Y,SBrkr,605,1577,0,Fa,1,CheapGarage,Unf,1,Y,0,0,CheapType,Others,140200,67,56,2006-10-01,1
ExpensiveZone,69.0,12772,Irregular,ExpensiveConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1960,ExpensiveRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,460,958,Others,Y,SBrkr,0,958,0,TA,0,ExpensiveGarage,RFn,1,Y,0,0,CheapType,Others,151500,47,9,2007-04-01,1
ExpensiveZone,69.0,17600,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1960,CheapRoofStyle,CheapExterior,BrkFace,30.0,TA,CheapFoundation,TA,No,Other,208,1478,Ex,Y,Other,0,1478,0,TA,2,ExpensiveGarage,Unf,2,Y,0,40,CheapType,Others,157500,49,49,2009-12-01,3
ExpensiveZone,36.0,2448,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,CheapType,ExpensiveStyle,7,2003,CheapRoofStyle,MiddleExterior,Stone,106.0,Gd,ExpensiveFoundation,Gd,No,GLQ,191,764,Ex,Y,SBrkr,862,1626,1,Gd,0,ExpensiveGarage,RFn,2,Y,0,27,CheapType,Others,154000,5,4,2008-10-01,3
ExpensiveZone,56.0,20431,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,9,2005,ExpensiveRoofStyle,ExpensiveExterior,BrkFace,870.0,Ex,ExpensiveFoundation,Ex,No,GLQ,438,1848,Ex,Y,SBrkr,880,2728,1,Ex,2,ExpensiveGarage,Fin,3,Y,0,0,ExpensiveType,Partial,437154,1,0,2006-04-01,3
ExpensiveZone,68.0,7820,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2007,ExpensiveRoofStyle,CheapExterior,BrkFace,362.0,Ex,ExpensiveFoundation,Ex,No,Other,1869,1869,Ex,Y,SBrkr,0,1869,0,Ex,1,ExpensiveGarage,RFn,2,Y,210,54,ExpensiveType,Partial,318061,0,0,2007-12-01,2
ExpensiveZone,69.0,5271,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,1986,CheapRoofStyle,CheapExterior,None,0.0,TA,ExpensiveFoundation,Gd,Yes,GLQ,371,1453,Others,Y,SBrkr,0,1453,1,Gd,1,ExpensiveGarage,RFn,2,Y,0,80,CheapType,Others,190000,20,20,2006-12-01,2
ExpensiveZone,60.0,9084,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,CheapStyle,5,1941,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,0,616,Others,N,SBrkr,495,1111,0,TA,0,CheapGarage,Unf,1,Y,48,0,CheapType,Others,95000,67,58,2008-03-01,1
MiddleZone,60.0,8520,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1928,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,No,Other,624,624,Others,Y,SBrkr,0,720,0,TA,0,CheapGarage,Unf,2,Y,106,0,CheapType,Others,105900,82,7,2010-05-01,1
ExpensiveZone,60.0,8400,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,6,1940,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,552,940,Ex,Y,SBrkr,403,1595,0,TA,2,ExpensiveGarage,Unf,1,Y,0,0,CheapType,Others,140000,66,6,2006-06-01,1
ExpensiveZone,105.0,11249,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1995,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,322,1200,Ex,Y,SBrkr,0,1200,0,Gd,0,ExpensiveGarage,RFn,2,Y,0,26,CheapType,Others,177500,12,12,2007-08-01,3
ExpensiveZone,69.0,9248,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1992,CheapRoofStyle,MiddleExterior,BrkFace,106.0,TA,ExpensiveFoundation,Gd,No,GLQ,598,1158,Others,Y,SBrkr,0,1167,0,Gd,0,ExpensiveGarage,RFn,2,Y,120,26,CheapType,Others,173000,17,17,2009-07-01,3
MiddleZone,44.0,4224,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1976,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,Other,268,1142,Others,Y,SBrkr,0,1142,1,TA,1,ExpensiveGarage,Fin,2,Y,536,90,CheapType,Others,134000,31,31,2007-08-01,2
ExpensiveZone,92.0,6930,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1958,ExpensiveRoofStyle,ExpensiveExterior,BrkFace,120.0,TA,CheapFoundation,TA,Yes,Other,468,1062,Ex,Y,Other,0,1352,0,Gd,0,ExpensiveGarage,Unf,1,Y,168,0,CheapType,Others,130000,48,48,2006-07-01,1
ExpensiveZone,78.0,12011,Irregular,ExpensiveConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,1998,CheapRoofStyle,ExpensiveExterior,BrkFace,530.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,130,1086,Ex,Y,SBrkr,838,1924,1,Gd,1,ExpensiveGarage,RFn,2,Y,208,75,CheapType,Others,280000,8,8,2006-06-01,3
ExpensiveZone,69.0,7540,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,6,1978,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,Gd,Yes,GLQ,115,888,Ex,Y,SBrkr,0,912,0,TA,1,ExpensiveGarage,RFn,2,Y,0,0,CheapType,Others,156000,29,29,2007-06-01,2
ExpensiveZone,69.0,9144,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1940,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,484,883,Others,Y,SBrkr,517,1505,0,TA,0,CheapGarage,Unf,1,Other,0,0,CheapType,Others,145000,68,26,2008-07-01,2
ExpensiveZone,64.0,7301,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,7,2003,CheapRoofStyle,MiddleExterior,BrkFace,500.0,Gd,CheapFoundation,TA,Yes,Other,0,0,Ex,Y,SBrkr,1427,1922,0,Gd,1,ExpensiveGarage,RFn,2,Y,0,0,CheapType,Others,198500,6,6,2009-07-01,3
MiddleZone,21.0,1680,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,ExpensiveStyle,6,1972,CheapRoofStyle,MiddleExterior,BrkFace,510.0,TA,CheapFoundation,TA,No,Other,321,483,Others,Y,SBrkr,504,987,1,Gd,0,CheapGarage,Unf,1,Y,250,0,CheapType,Others,118000,37,2,2009-05-01,1
ExpensiveZone,69.0,18800,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,1976,CheapRoofStyle,MiddleExterior,BrkFace,120.0,TA,ExpensiveFoundation,Gd,Yes,GLQ,84,796,Others,Y,SBrkr,784,1574,1,TA,1,ExpensiveGarage,Fin,2,Y,306,111,CheapType,Others,190000,30,30,2006-07-01,3
MiddleZone,59.0,10690,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,5,1920,ExpensiveRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,No,Other,216,672,Others,Y,Other,672,1344,0,TA,0,CheapGarage,Unf,1,Y,0,128,CheapType,Others,147000,89,12,2009-07-01,1
ExpensiveZone,69.0,9500,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1963,CheapRoofStyle,MiddleExterior,BrkFace,247.0,TA,CheapFoundation,Gd,No,Other,785,1394,Others,Y,SBrkr,0,1394,1,TA,2,ExpensiveGarage,RFn,2,Y,0,76,CheapType,Others,159000,46,46,2009-07-01,2
ExpensiveZone,101.0,9150,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1962,CheapRoofStyle,MiddleExterior,BrkFace,305.0,TA,CheapFoundation,Gd,Yes,GLQ,728,1099,Others,Y,SBrkr,0,1431,0,TA,1,CheapGarage,RFn,1,Y,64,110,CheapType,Others,165000,46,46,2008-12-01,1
ExpensiveZone,78.0,7800,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1954,CheapRoofStyle,MiddleExterior,BrkFace,200.0,TA,ExpensiveFoundation,TA,No,Other,728,1268,Others,Y,SBrkr,0,1268,0,TA,1,ExpensiveGarage,Fin,1,Y,0,98,CheapType,Others,132000,56,56,2010-03-01,1
ExpensiveZone,69.0,9830,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1959,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,733,1063,Ex,Y,SBrkr,0,1287,0,Gd,1,CheapGarage,Fin,2,Y,364,17,CheapType,Others,162000,51,4,2010-03-01,2
ExpensiveZone,69.0,8121,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,2000,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,Other,953,953,Ex,Y,SBrkr,711,1664,1,TA,1,ExpensiveGarage,RFn,2,Y,100,40,CheapType,Others,172400,6,6,2006-01-01,2
ExpensiveZone,80.0,17120,Regular,CheapConfig,ExpensiveNeighborhood,CheapCondition,ExpensiveType,CheapStyle,4,1959,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,0,0,Others,Y,SBrkr,468,1588,0,TA,1,CheapGarage,Fin,2,Other,0,59,CheapType,Others,134432,49,49,2008-07-01,2
ExpensiveZone,50.0,7175,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1984,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,Gd,No,Other,0,744,Others,Y,SBrkr,0,752,0,TA,0,ExpensiveGarage,Unf,1,Y,353,0,CheapType,Others,125000,26,26,2010-02-01,2
ExpensiveZone,79.0,10634,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1953,CheapRoofStyle,CheapExterior,None,0.0,TA,ExpensiveFoundation,TA,No,Other,0,608,Others,Y,SBrkr,0,1319,0,TA,0,ExpensiveGarage,Unf,1,Y,66,0,CheapType,Others,123000,56,56,2009-11-01,2
ExpensiveZone,65.0,8200,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,2003,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,847,847,Ex,Y,SBrkr,1081,1928,1,Gd,1,ExpensiveGarage,Fin,2,Y,100,48,CheapType,Others,219500,4,3,2007-07-01,2
ExpensiveZone,69.0,10020,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,1,1922,CheapRoofStyle,CheapExterior,None,0.0,Fa,CheapFoundation,TA,Yes,Other,333,683,Others,N,Other,0,904,1,Fa,0,CheapGarage,NoGarage,0,Y,0,0,CheapType,Others,61000,87,59,2009-03-01,1
ExpensiveZone,57.0,8846,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1996,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,572,870,Ex,Y,SBrkr,0,914,0,TA,0,CheapGarage,Unf,2,Y,0,0,CheapType,Others,148000,10,10,2006-07-01,1
ExpensiveZone,102.0,11143,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2004,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,1580,1580,Ex,Y,SBrkr,886,2466,0,Gd,1,ExpensiveGarage,RFn,2,Y,159,214,CheapType,Others,340000,3,2,2007-12-01,3
ExpensiveZone,88.0,11394,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2010,ExpensiveRoofStyle,ExpensiveExterior,Stone,350.0,Gd,ExpensiveFoundation,Ex,Yes,GLQ,411,1856,Ex,Y,SBrkr,0,1856,1,Ex,1,ExpensiveGarage,Fin,3,Y,113,0,ExpensiveType,Partial,394432,0,0,2010-06-01,2
ExpensiveZone,60.0,8123,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,2000,CheapRoofStyle,ExpensiveExterior,BrkFace,16.0,TA,ExpensiveFoundation,Gd,No,Other,982,982,Ex,Y,SBrkr,793,1800,1,TA,1,ExpensiveGarage,Fin,2,Y,100,63,CheapType,Others,179000,9,9,2009-06-01,2
ExpensiveZone,50.0,5000,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1924,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,808,1026,Others,Y,SBrkr,665,1691,0,Gd,1,CheapGarage,Unf,1,Y,0,0,CheapType,Others,127000,86,60,2010-05-01,2
ExpensiveZone,60.0,7200,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,2006,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,1293,1293,Ex,Y,SBrkr,0,1301,0,Gd,1,ExpensiveGarage,RFn,2,Y,216,121,ExpensiveType,Partial,187750,0,0,2006-08-01,3
ExpensiveZone,79.0,9245,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,2006,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,Yes,Other,939,939,Ex,Y,SBrkr,858,1797,1,Gd,0,ExpensiveGarage,RFn,2,Y,144,53,CheapType,Others,213500,1,1,2007-04-01,2
MiddleZone,60.0,9000,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,6,1928,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,784,784,Others,N,Other,0,784,0,TA,0,CheapGarage,Unf,2,Other,0,0,CheapType,Others,76000,81,59,2009-10-01,1
ExpensiveZone,69.0,53107,Irregular,CheapConfig,ExpensiveNeighborhood,CheapCondition,ExpensiveType,ExpensiveStyle,6,1992,CheapRoofStyle,MiddleExterior,None,0.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,595,1580,Ex,Y,SBrkr,874,1953,1,Gd,2,ExpensiveGarage,Fin,2,Y,216,231,CheapType,Others,240000,15,15,2007-06-01,3
ExpensiveZone,43.0,3182,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2004,CheapRoofStyle,ExpensiveExterior,BrkFace,16.0,Gd,ExpensiveFoundation,Gd,No,GLQ,1232,1256,Ex,Y,SBrkr,0,1269,0,Gd,1,ExpensiveGarage,Fin,2,Y,146,20,CheapType,Others,192000,6,5,2010-04-01,2
ExpensiveZone,58.0,8410,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,CheapStyle,5,1910,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,TA,No,Other,658,658,Others,Y,SBrkr,526,1184,0,TA,0,CheapGarage,NoGarage,0,Other,0,151,CheapType,Others,81000,96,10,2006-05-01,1
ExpensiveZone,72.0,7200,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1976,ExpensiveRoofStyle,CheapExterior,BrkFace,255.0,TA,CheapFoundation,TA,Yes,Other,410,1041,Ex,Y,SBrkr,0,1125,0,TA,1,CheapGarage,Unf,1,Y,296,0,CheapType,Others,125000,33,33,2009-10-01,2
ExpensiveZone,93.0,9382,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,1999,CheapRoofStyle,ExpensiveExterior,BrkFace,125.0,Gd,ExpensiveFoundation,Gd,No,Other,1468,1468,Ex,Y,SBrkr,0,1479,0,Gd,0,ExpensiveGarage,RFn,2,Y,120,25,CheapType,Others,191000,9,8,2008-07-01,2
ExpensiveZone,96.0,12474,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,10,2007,CheapRoofStyle,ExpensiveExterior,Stone,272.0,Ex,ExpensiveFoundation,Ex,Yes,GLQ,402,1682,Ex,Y,SBrkr,590,2332,1,Ex,1,ExpensiveGarage,Fin,3,Y,196,134,ExpensiveType,Partial,426000,1,0,2008-08-01,3
ExpensiveZone,50.0,8405,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1900,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,229,861,Ex,Y,SBrkr,406,1367,0,TA,0,CheapGarage,Unf,1,Y,0,130,CheapType,Others,119000,108,58,2008-04-01,2
ExpensiveZone,71.0,12209,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,2001,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Ex,No,Other,114,804,Ex,Y,SBrkr,1157,1961,1,Gd,1,ExpensiveGarage,Fin,2,Y,125,192,CheapType,Others,215000,8,7,2009-06-01,3
ExpensiveZone,69.0,8339,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1959,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,0,0,Others,Y,SBrkr,0,882,0,TA,0,ExpensiveGarage,RFn,1,Y,0,0,CheapType,Others,106500,48,48,2007-07-01,1
ExpensiveZone,69.0,7446,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,4,1941,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,522,788,Others,Y,Other,0,788,0,TA,2,CheapGarage,NoGarage,0,Y,0,0,CheapType,Others,100000,65,56,2006-04-01,1
ExpensiveZone,60.0,10134,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1940,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,735,735,Others,Y,Other,299,1034,0,TA,0,CheapGarage,Unf,1,Y,0,39,CheapType,Others,109000,67,57,2007-07-01,1
ExpensiveZone,68.0,9571,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1956,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,405,1144,Others,Y,SBrkr,0,1144,0,TA,0,ExpensiveGarage,Unf,1,Y,44,0,CheapType,Others,129000,54,54,2010-06-01,2
